State/Local, Condition, BR Key, Bridge Id, County, Municipality, Location/Structure Name, Feature Carried, Feature Intersected, Owner, Length (ft), Deck Area (sq ft), Number of Spans, Material, Structure Type, Year Built, Posting Status, Weight Limit Single, Weight Limit Combination, Deck Condition, Superstructure Condition, Substructure Condition, Culvert Condition, Planning Partner, Average Daily Traffic
"S","Good","52548","02008801702246","ALLEGHENY","Pittsburgh City","SR 51 and SR 88 Intersect","Library Rd.","Saw Mill Run","STATE HIGHWAY AGENCY","32","1920","1","Concrete (precast)","Arch culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","17445"
"S","Good","52550","02008801702278","ALLEGHENY","Pittsburgh City","SR51 and 88 Intersection","Library Rd.","Weyman Run","STATE HIGHWAY AGENCY","24","1440","1","Concrete (precast)","Arch culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","17445"
"S","Good","52636","02101600801980","ALLEGHENY","Indiana Township","70' West of SR 1015","SR 1016 Lafever H","Little Deer Creek","STATE HIGHWAY AGENCY","35","1004.50","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","381"
"S","Good","52644","02301400302261","ALLEGHENY","South Park Township","3/4 MI NW of SR 3015","Piney Fork Rd","Piney Fork Creek","STATE HIGHWAY AGENCY","45","1530","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","595"
"S","Good","52650","02101300400000","ALLEGHENY","Ohara Township","2 Miles W of SR 1006","Saxonburg Blvd.","Branch Little Pine Creek","STATE HIGHWAY AGENCY","13","516.10","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","9 - Excellent","SPC","2094"
"S","Good","52660","02300300501326","ALLEGHENY","South Fayette Township","1/2 MI. South of SR0050","Washington Pike","Coal Run","STATE HIGHWAY AGENCY","18","774","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","14516"
"S","Good","52675","02102801801751","ALLEGHENY","Fawn Township","200' West of SR 1031","Bakerstown Rd","Lardintown Run","STATE HIGHWAY AGENCY","59","1888","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","8 - Very Good","N - Not applicable.","SPC","2982"
"S","Good","52723","02088502000034","ALLEGHENY","Pittsburgh City","Near Glenwood Interchange","SR 885","Branch of Streets Run","STATE HIGHWAY AGENCY","12","552","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","11610"
"S","Good","52725","02088501900385","ALLEGHENY","Pittsburgh City","350' NW Int w/ SR 2045","Mifflin Road","Branch of Streets Run","STATE HIGHWAY AGENCY","14","504","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","23219"
"S","Good","52726","02005103300395","ALLEGHENY","Pittsburgh City","120' south of Provost Rd","Saw Mill Run Blvd","Weyman Run","STATE HIGHWAY AGENCY","42","2436","1","Steel","I beams","2015","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","24342"
"S","Good","52727","02088501900001","ALLEGHENY","Pittsburgh City","Near Int. w/ SR 4045","Mifflin Road","Branch of Streets Run","STATE HIGHWAY AGENCY","9","1071","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","23219"
"S","Good","52728","02088501801597","ALLEGHENY","Pittsburgh City","At Int. with SR 2045","Lebanon Road","Trib. Streets Run","STATE HIGHWAY AGENCY","10","540","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","17621"
"S","Good","52731","02730100100001","ALLEGHENY","Pittsburgh City","At Int. with SR 885","Slate Street","Tributary to Streets Run","STATE HIGHWAY AGENCY","12","300","1","Concrete (precast)","Box culvert","2015","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","50"
"S","Good","52755","02103400501321","ALLEGHENY","Fawn Township","4200' S.E. OF SR 1033","BULL CREEK RD","BULL CREEK","STATE HIGHWAY AGENCY","74","2405","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","8 - Very Good","N - Not applicable.","SPC","2609"
"S","Good","52756","02204600800256","ALLEGHENY","Baldwin Borough, West Mifflin Borough","50'NORTH/BRENTWOOD RD.","STREETS RUN ROAD","STREETS RUN","STATE HIGHWAY AGENCY","58","1972","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","7 - Good","N - Not applicable.","SPC","8616"
"S","Good","52757","02211800203544","ALLEGHENY","null","500 Southeast of SR 0048","Ripple Rd","LONG RUN","STATE HIGHWAY AGENCY","60","2130","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","7 - Good","N - Not applicable.","SPC","6011"
"S","Good","52758","02401700500880","ALLEGHENY","Shaler Township","NEAR TOWNSHIP GARAGE","Little Pine Crk Rd","LITTLE PINE CREEK","STATE HIGHWAY AGENCY","44","1258.40","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","8 - Very Good","N - Not applicable.","SPC","1676"
"S","Good","52869","02205801801370","ALLEGHENY","Penn Hills Township","Unity Rd over Br Plum Cr","Unity Road","Branch of Plum Creek","STATE HIGHWAY AGENCY","8","240","1","Concrete (precast)","Box culvert","1990","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","6180"
"S","Good","53261","02101301600891","ALLEGHENY","Indiana Township","Near Dorseyville","SR 1013","PA TPK (I-76)","STATE HIGHWAY AGENCY","278","12065.20","3","Concrete (precast)","Box beam - (spread)","2015","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","4201"
"S","Good","53269","02101300300428","ALLEGHENY","Ohara Township","1 MI. N.E. of SR 0008","SAXONBURG BLVD","Little Pine Creek","STATE HIGHWAY AGENCY","52","1664","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2016","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","8 - Very Good","N - Not applicable.","SPC","2094"
"S","Good","53274","02097800300000","ALLEGHENY","South Fayette Township","2000'N. OF SR 3001","SR 0978","FISHING RUN","STATE HIGHWAY AGENCY","16","520","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3748"
"S","Good","53278","02013601202172","ALLEGHENY","Elizabeth Township","100'W.OF INTER W/SR 2017","WEST NEWTON RD","BRANCH OF GILLESPIE RUN","STATE HIGHWAY AGENCY","15","582","1","Concrete (precast)","Frame culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3638"
"S","Good","53320","02310800100174","ALLEGHENY","North Fayette Township","200' S.W. OF SR 3049","NORTH BRANCH RD","NORTH BRANCH ROBINSON RN","STATE HIGHWAY AGENCY","13","448.50","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","2581"
"S","Good","53325","02200101300130","ALLEGHENY","Forward Township","AT PANGBURN HOLLOW RD","BUNOLA RIVER RD","PERRY MILL RUN","STATE HIGHWAY AGENCY","92","2870.40","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2016","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","9 - Excellent","N - Not applicable.","SPC","803"
"S","Good","53327","02101100102295","ALLEGHENY","Harmar Township","1/2 MI. N. of SR 28","GUYS RUN RD","GUYS RUN","STATE HIGHWAY AGENCY","23","837.20","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","9 - Excellent","SPC","3223"
"S","Good","53328","02206500402452","ALLEGHENY","Monroeville Borough, Wilkins Township","2656' N.E. OF SR 2053","Thompson Run Road","Thompson Run","STATE HIGHWAY AGENCY","75","2550","2","Prestressed precast concrete (P/S)","Box beam - (spread)","2016","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","778"
"S","Good","53330","02101902202386","ALLEGHENY","East Deer Township","Near Bailey Run Rd","Days Run Road","Days Run","STATE HIGHWAY AGENCY","26","1079","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","472"
"S","Good","53331","02091003501589","ALLEGHENY","Indiana Township","Indiana Township","SR 0910","PA TPK (I-76)","STATE HIGHWAY AGENCY","192","9081.60","2","Prestressed precast concrete (P/S)","I beams","2016","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","8013"
"S","Good","53359","02201800400721","ALLEGHENY","Elizabeth Township","2082 FEET SW OF SR 48","WEST SMITHFIELD ST","TRIB TO YOUGH RIVER","STATE HIGHWAY AGENCY","25","787.50","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","1121"
"S","Good","53365","02003001202263","ALLEGHENY","Findlay Township, North Fayette Township","400 FEET SE OF SR 3070","LINCOLN HWY(US 30)","Montour Run","STATE HIGHWAY AGENCY","52","2288","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2016","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","5835"
"S","Good","53369","02200800100053","ALLEGHENY","Elizabeth Township","@ INTER. WITH SR 2010","Mill Hill Rd","Wylie Run","STATE HIGHWAY AGENCY","26","845","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","1402"
"S","Good","53375","02207500900000","ALLEGHENY","Plum Borough","OVER BR. LITTLE PLUM CR.","NEW TEXAS RD","Br. Little Plum Creek","STATE HIGHWAY AGENCY","12","414","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","4919"
"S","Good","53376","02201701301248","ALLEGHENY","Elizabeth Township","@ SR 2014","INDUSTRY RD","Boyds Hollow Run","STATE HIGHWAY AGENCY","18","574.20","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","1626"
"S","Good","53515","02305700700001","ALLEGHENY","North Fayette Township","1 MI N of SR 3108","Donaldson Road","Fork of Robinson Run","STATE HIGHWAY AGENCY","18","558","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","1484"
"S","Good","53571","02301800260000","ALLEGHENY","Jefferson Hills Borough","820' S.W. OF SR 3021","SCHEINBACH RD","LOBBS RUN","STATE HIGHWAY AGENCY","26","741","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","395"
"S","Good","53592","02309800601125","ALLEGHENY","Pittsburgh City","NEAR SR 3100","GLASS RUN RD","GLASS RUN","STATE HIGHWAY AGENCY","25","1155","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","5983"
"S","Good","53609","02304801601159","ALLEGHENY","Collier Township","Inter/Scotts Run Road","Noblestown Road","Scotts Run","STATE HIGHWAY AGENCY","13","390","1","Concrete (precast)","Box culvert","2016","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3315"
"S","Good","53645","02102801300706","ALLEGHENY","West Deer Township","@ INTERSECTION W/ SR 1013","Bakerstown Road","B&LE RR","STATE HIGHWAY AGENCY","133","5572.70","1","Steel","I-welded beams","2016","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","4295"
"S","Good","53653","02103100300001","ALLEGHENY","Fawn Township","1/2 mi. NW of SR1028","Lardington Road","Lardington Run","STATE HIGHWAY AGENCY","58","2146","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2017","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","219"
"S","Good","53659","02308400201034","ALLEGHENY","Findlay Township","1 MI S Beaver Co. Line","ECONOMY GRADE ROAD","SR 0376 EB WB","STATE HIGHWAY AGENCY","221","10475.40","3","Prestressed precast concrete (P/S)","Box beam - (spread)","2016","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","795"
"S","Good","53746","02091002400485","ALLEGHENY","Richland Township","1 MILE EAST OF RT 8 INT","GIBSONIA RD","W. BRANCH OF DEER CREEK","STATE HIGHWAY AGENCY","33","1138.50","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","7877"
"S","Good","53748","02091003000000","ALLEGHENY","West Deer Township","250' SOUTH OF SR 1020","GIBSONIA RD","DEER CREEK","STATE HIGHWAY AGENCY","75","2400","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2017","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","4353"
"S","Good","53752","02100103502537","ALLEGHENY","East Deer Township","@ J.F.K.ELEM.SCHOOL","FREEPORT RD","CRAWFORD RUN","STATE HIGHWAY AGENCY","17","855.10","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","9 - Excellent","SPC","8498"
"S","Good","53753","02100103601567","ALLEGHENY","East Deer Township","NEAR BAILEY RUN ROAD","FREEPORT RD","BAILEY RUN","STATE HIGHWAY AGENCY","36","2026.80","1","Concrete (precast)","Box culvert","2019","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","8047"
"S","Good","53763","02101100101018","ALLEGHENY","Harmar Township","1028'N.OF FREEPORT RD.","GUYS RUN RD","Guys Run","STATE HIGHWAY AGENCY","24","871.20","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3223"
"S","Good","53764","02101200602013","ALLEGHENY","Indiana Township","70'E.INTER.W/TWP.RD.613","CHURCH LN","SHAFERS RUN","STATE HIGHWAY AGENCY","12","343.20","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","753"
"S","Good","53765","02101300202226","ALLEGHENY","Shaler Township","4283' N.E. OF SR 0008","SAXONBURG BLVD","LITTLE PINE CREEK","STATE HIGHWAY AGENCY","61","1952","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2017","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","9 - Excellent","8 - Very Good","N - Not applicable.","SPC","2094"
"S","Good","53767","02101500702617","ALLEGHENY","Indiana Township","NORTH/RURAL RIDGE","LITTLE DEER CRK RD","UNT to LITTLE DEER CREEK","STATE HIGHWAY AGENCY","20","630","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3759"
"S","Good","53769","02200100800335","ALLEGHENY","Forward Township","AT BAPTIST CHURCH","BUNOLA RIVER RD","BUNOLA RUN","STATE HIGHWAY AGENCY","17","955.40","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","520"
"S","Good","53771","02201000102238","ALLEGHENY","Elizabeth Township","500'N.E.OF ROSS STREET","LOVEDALE ROAD","BRANCH OF WYLIE RUN","STATE HIGHWAY AGENCY","17","535.50","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","6757"
"S","Good","53773","02201701400112","ALLEGHENY","Elizabeth Township","AT ROCK RUN RD","G. BUENA VISTA RD","WILDCAT RUN","STATE HIGHWAY AGENCY","22","1075.80","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","1626"
"S","Good","53774","02202200102622","ALLEGHENY","White Oak Borough","2644'N.E.OF LR02310","STEWARTSVILLE H RD","UNT TO LONG RUN","STATE HIGHWAY AGENCY","20","790","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","9 - Excellent","SPC","1078"
"S","Good","53778","02204600401678","ALLEGHENY","Baldwin Borough","AT INTER./ SR 3046","STREETS RUN RD","STREETS RUN","STATE HIGHWAY AGENCY","40","1760","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2018","OPEN, NO RESTRICTION","N/A","N/A","9 - Excellent","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","7530"
"S","Good","53779","02204600801088","ALLEGHENY","Baldwin Borough","AT LUTZ HOLLOW ROAD","STREETS RUN RD","STREETS RUN","STATE HIGHWAY AGENCY","18","613.80","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","8616"
"S","Good","53805","02300800420000","ALLEGHENY","Upper Saint Clair Township","200'W.OF INTER.W/SR 3004","MORROW RD (SR3008)","MCLAUGHLIN RUN","STATE HIGHWAY AGENCY","23","770.50","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","2716"
"S","Good","53812","02302100300941","ALLEGHENY","Jefferson Hills Borough","100' SOUTHEAST OF SR 3018","WALTON RD","LOBBS RUN","STATE HIGHWAY AGENCY","31","945.50","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","538"
"S","Good","53816","02304801200000","ALLEGHENY","Collier Township","1 MI.W.OF SR3041","NOBLESTOWN RD","BRANCH OF ROBINSON RUN","STATE HIGHWAY AGENCY","15","459","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","414"
"S","Good","53835","02309800500762","ALLEGHENY","Baldwin Borough","1 1/2 MI FROM GLNWOOD INT","GLASS RUN RD","GLASS RUN","STATE HIGHWAY AGENCY","19","741","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","5983"
"S","Good","53842","02310800301395","ALLEGHENY","North Fayette Township","100' N.E. OF SR 3053","NORTH BRANCH RD","Branch N Br Robinson Run","STATE HIGHWAY AGENCY","21","724.50","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3402"
"S","Good","53852","02403200902202","ALLEGHENY","Sewickley Hgts Borough","419' W OF SR 4034","FERN HOLLOW RD","LITTLE SEWICKLEY CK TRIB","STATE HIGHWAY AGENCY","13","422.50","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","780"
"S","Good","53853","02403600701676","ALLEGHENY","Bell Acres Borough","@ INTER.TURKEY FOOT ROAD","BIG SEWICKLEY C RD","UNT BIG SEWICKLEY CREEK","STATE HIGHWAY AGENCY","18","657","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3305"
"S","Good","53855","02403601303135","ALLEGHENY","Bell Acres Borough","@ CAMP MEETING RD. EXT.","BIG SEWICKLEY C RD","UNT BIG SEWICKLEY CREEK","STATE HIGHWAY AGENCY","16","588.80","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","4612"
"S","Good","54094","02000804101108","ALLEGHENY","Richland Township","@ INTERSECTION W/SR 0910","WILLIAM FLYNN HWY","WEST BRANCH DEER CREEK","STATE HIGHWAY AGENCY","28","1957.20","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","30614"
"S","Good","54104","02003001901870","ALLEGHENY","Forest Hills Borough","@ INTER W/ BRADDOCK ROAD","LINCOLN HWY(US 30)","FALLS RUN","STATE HIGHWAY AGENCY","19","1425","1","Concrete (precast)","Pipe culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","28077"
"S","Good","54105","02005100802710","ALLEGHENY","Elizabeth Township","@ INTER.W/WEIGLE HILL RD.","HAYDEN BLVD (SR51)","FALLEN TIMBER RUN","STATE HIGHWAY AGENCY","32","3078.40","1","Concrete (precast)","Box culvert","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","18052"
"S","Good","54240","02004800102376","ALLEGHENY","null","1/4 Mi. S. of Round Hill","Scenery Drive","Douglas Run","STATE HIGHWAY AGENCY","11","374","1","Concrete (precast)","Pipe culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","5152"
"S","Good","54242","02308901300031","ALLEGHENY","Findlay Township","1 Mi North of Old Airport","Flaugherty Run Rd.","SR 3160 - Business 376","STATE HIGHWAY AGENCY","131","6943","2","Prestressed precast concrete (P/S)","Box beam - (spread)","2017","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","8739"
"S","Good","54260","02100101400010","ALLEGHENY","Ohara Township","1/2 mi. S of SR 1002","Freeport Road","Squaw Run","STATE HIGHWAY AGENCY","51","2193","1","Other","Arch deck - closed","2018","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","9984"
"S","Good","54292","02008800200292","ALLEGHENY","Bethel Park Borough","50' South of SR 3004","Library Road","Piney Fork Creek","STATE HIGHWAY AGENCY","24","1080","1","Concrete (precast)","Box culvert","2020","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","12578"
"S","Good","54293","02008800200668","ALLEGHENY","Bethel Park Borough","200' North of SR 3004","Library Road","Br. Piney Fork Creek","STATE HIGHWAY AGENCY","24","768","1","Concrete (precast)","Box culvert","2021","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","3862"
"S","Good","54344","02103100100310","ALLEGHENY","Fawn Township","350' N OF SR 1034","Lardington Road","Bull Creek","STATE HIGHWAY AGENCY","77","2417.80","1","Steel","I beams","2019","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","7 - Good","8 - Very Good","N - Not applicable.","SPC","517"
"S","Good","54354","02005106901606","ALLEGHENY","Coraopolis Borough","0.2 Mi. NW of Neville Isl","Fourth Avenue","McCabe Run","STATE HIGHWAY AGENCY","14","560","1","Concrete (cast in place)","Box culvert","2020","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","11556"
"S","Good","54447","02004801101634","ALLEGHENY","null","Near Lincoln Boro Line","Boston Hollow Road","Boston Hollow Run","STATE HIGHWAY AGENCY","15","450","1","Concrete (precast)","Box culvert","2019","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","7211"
"S","Good","54450","02201000200088","ALLEGHENY","Lincoln Borough","85' NE of Eliz-Linc. Line","Lovedale Road","Wylie Run","STATE HIGHWAY AGENCY","32","1113.60","1","Steel","I beams","2017","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","6757"
"S","Good","54484","02200102000001","ALLEGHENY","Elizabeth Borough","500' East of SR 51","Center Ave.","Fallen Timber Run","STATE HIGHWAY AGENCY","25","725","1","Concrete (precast)","Box culvert","2020","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","9990"
"S","Good","54512","02102000900001","ALLEGHENY","West Deer Township","15' E of Int. w/ SR 1013","Russellton-Dorsey","Cunningham Run","STATE HIGHWAY AGENCY","44","1465.20","1","Prestressed precast concrete (P/S)","Box beam - (spread)","2017","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","7 - Good","N - Not applicable.","SPC","1342"
"S","Good","54541","02403601400961","ALLEGHENY","Economy Borough","INTER. of SR-2005","BIG SEWICKLEY C RD","Br. Big Sewickley Creek","STATE HIGHWAY AGENCY","19","695.40","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","9 - Excellent","SPC","4612"
"S","Good","54565","02004801100232","ALLEGHENY","null","Near Keddie Road","BOSTON HOLLOW RD","TRIB TO BOSTON HOLLOW","STATE HIGHWAY AGENCY","9","270","1","Concrete (precast)","Box culvert","2017","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","8 - Very Good","SPC","7211"
